z	10 mm Bz	10 mm Br	28 mm Bz	28 mm Br	48 mm Bz	48 mm Br	68 mm Bz	68 mm Br	88 mm Bz	88 mm Br
-1850.7	-1.3932e-05	9.7783e-05	-1.4121e-05	0.00017109	-1.4137e-05	0.00023804	-1.4061e-05	0.00031374	-8.383e-06	2.2375e-05
-1849.8	-2.7821e-05	9.7488e-05	-2.8241e-05	0.00017108	-2.8284e-05	0.00023826	-2.8091e-05	0.00031305	-1.6825e-05	2.2533e-05
-1848.9	-4.1735e-05	9.7653e-05	-4.2317e-05	0.00017054	-4.2386e-05	0.00023748	-4.2132e-05	0.00031328	-2.5257e-05	2.2504e-05
-1848.0	-5.571e-05	9.8086e-05	-5.6436e-05	0.00017107	-5.6512e-05	0.0002378	-5.6208e-05	0.00031409	-3.4056e-05	2.3486e-05
-1847.1	-6.9734e-05	9.8433e-05	-7.0457e-05	0.00016988	-7.0595e-05	0.00023736	-7.0282e-05	0.00031402	-4.2844e-05	2.3456e-05
-1846.3	-8.3921e-05	9.9576e-05	-8.4379e-05	0.00016868	-8.465e-05	0.00023723	-8.4391e-05	0.0003148	-5.1386e-05	2.2798e-05
-1845.4	-9.8145e-05	9.9838e-05	-9.8244e-05	0.00016799	-9.8632e-05	0.00023592	-9.8478e-05	0.00031433	-5.9649e-05	2.2054e-05
-1844.5	-0.00011234	9.9617e-05	-0.0001122	0.0001691	-0.00011269	0.00023716	-0.00011262	0.00031562	-6.8163e-05	2.2726e-05
-1843.6	-0.00012655	9.9715e-05	-0.00012618	0.00016938	-0.00012673	0.00023657	-0.00012689	0.00031832	-7.6979e-05	2.3531e-05
-1842.7	-0.0001407	9.935e-05	-0.00014023	0.00017022	-0.00014084	0.00023782	-0.00014119	0.00031901	-8.6055e-05	2.4224e-05
-1841.8	-0.00015476	9.865e-05	-0.00015434	0.00017101	-0.00015502	0.00023901	-0.00015549	0.00031909	-9.5178e-05	2.435e-05
-1840.9	-0.00016885	9.8949e-05	-0.00016856	0.00017222	-0.00016927	0.00023999	-0.00016979	0.00031905	-0.00010423	2.4165e-05
-1840.0	-0.00018292	9.87e-05	-0.00018277	0.00017217	-0.00018351	0.00023983	-0.00018405	0.00031826	-0.00011317	2.3851e-05
-1839.1	-0.00019707	9.9359e-05	-0.00019699	0.00017233	-0.00019778	0.00024041	-0.0001983	0.00031789	-0.00012176	2.2924e-05
